Pos,Age,MP,FG,FGA,FG%,PTS,height,weight,PER
C,35.0,317.0,48.0,97.0,0.495,122.0,208.0,98.0,14.1
C,25.0,795.0,141.0,304.0,0.464,356.0,213.0,129.0,12.8
SG,33.0,2478.0,285.0,607.0,0.47,718.0,190.0,83.0,12.7
SF,29.0,2980.0,553.0,1306.0,0.423,1644.0,206.0,99.0,16.3
C,30.0,3019.0,711.0,1378.0,0.516,2051.0,216.0,106.0,29.4
SF,23.0,3249.0,627.0,1382.0,0.454,1660.0,201.0,102.0,15.9
PG,25.0,1627.0,229.0,574.0,0.399,649.0,198.0,95.0,10.6
PG,29.0,715.0,92.0,221.0,0.416,247.0,188.0,88.0,11.8
PF,34.0,2088.0,146.0,304.0,0.48,351.0,201.0,95.0,13.6
SF,23.0,372.0,32.0,90.0,0.356,90.0,201.0,99.0,9.0
PF,24.0,1043.0,178.0,344.0,0.517,430.0,211.0,99.0,13.9
SF,24.0,1950.0,306.0,641.0,0.477,774.0,201.0,106.0,13.5
C,26.0,1117.0,144.0,285.0,0.505,424.0,208.0,113.0,13.4
C,26.0,902.0,112.0,227.0,0.493,331.0,208.0,113.0,13.3
C,26.0,215.0,32.0,58.0,0.552,93.0,208.0,113.0,13.7
SG,23.0,2134.0,290.0,604.0,0.48,803.0,203.0,95.0,14.3
SF,29.0,963.0,106.0,216.0,0.491,337.0,203.0,95.0,12.7
C,23.0,723.0,79.0,135.0,0.585,184.0,211.0,111.0,10.6
PG,25.0,1551.0,263.0,648.0,0.406,778.0,185.0,83.0,14.8
PF,27.0,30.0,3.0,9.0,0.333,8.0,206.0,108.0,2.4
SF,25.0,577.0,56.0,142.0,0.394,174.0,201.0,102.0,10.0
C,31.0,1735.0,394.0,723.0,0.545,1058.0,221.0,126.0,24.7
PF,31.0,673.0,63.0,140.0,0.45,185.0,211.0,104.0,10.0
PF,31.0,482.0,51.0,105.0,0.486,149.0,211.0,104.0,10.6
PF,31.0,191.0,12.0,35.0,0.343,36.0,211.0,104.0,8.7
C,36.0,399.0,32.0,94.0,0.34,101.0,211.0,106.0,8.1
C,28.0,181.0,24.0,45.0,0.533,58.0,206.0,113.0,10.3
C,27.0,297.0,49.0,110.0,0.445,111.0,216.0,117.0,11.9
SF,33.0,2200.0,360.0,740.0,0.486,1080.0,206.0,97.0,17.3
SG,34.0,1894.0,271.0,676.0,0.401,819.0,190.0,88.0,13.0
SF,27.0,3041.0,491.0,1117.0,0.44,1431.0,203.0,103.0,16.1
SF,25.0,1601.0,272.0,655.0,0.415,712.0,203.0,86.0,13.8
C,30.0,1813.0,285.0,568.0,0.502,776.0,211.0,104.0,14.2
PG,29.0,1679.0,182.0,486.0,0.374,496.0,198.0,86.0,10.2
SF,27.0,810.0,86.0,217.0,0.396,246.0,201.0,95.0,11.6
PF,23.0,685.0,77.0,160.0,0.481,216.0,206.0,112.0,10.4
PG,31.0,236.0,20.0,57.0,0.351,63.0,185.0,81.0,9.0
PF,25.0,72.0,14.0,27.0,0.519,31.0,201.0,97.0,9.5
PF,25.0,20.0,3.0,5.0,0.6,6.0,201.0,97.0,8.8
PF,25.0,26.0,6.0,11.0,0.545,14.0,201.0,97.0,17.2
PF,25.0,26.0,5.0,11.0,0.455,11.0,201.0,97.0,2.4
PG,28.0,39.0,3.0,10.0,0.3,6.0,208.0,104.0,-2.2
PF,30.0,1716.0,244.0,578.0,0.422,609.0,208.0,104.0,11.3
PF,30.0,890.0,114.0,294.0,0.388,303.0,208.0,104.0,9.1
PF,30.0,826.0,130.0,284.0,0.458,306.0,208.0,104.0,13.7
PF,26.0,92.0,14.0,39.0,0.359,33.0,188.0,86.0,4.2
PF,20.0,2821.0,469.0,1024.0,0.458,1251.0,213.0,106.0,17.2
PG,30.0,1617.0,201.0,464.0,0.433,580.0,190.0,77.0,12.5
PF,23.0,1384.0,144.0,238.0,0.605,357.0,208.0,102.0,14.2
SG,26.0,2856.0,494.0,1143.0,0.432,1446.0,201.0,90.0,16.6
SG,27.0,938.0,116.0,274.0,0.423,298.0,201.0,95.0,11.7
SG,27.0,528.0,70.0,173.0,0.405,189.0,201.0,95.0,12.2
SG,27.0,410.0,46.0,101.0,0.455,109.0,201.0,95.0,11.0
C,29.0,1901.0,466.0,894.0,0.521,1164.0,224.0,113.0,19.0
PG,22.0,389.0,42.0,100.0,0.42,115.0,190.0,86.0,10.7
C,26.0,58.0,5.0,13.0,0.385,14.0,213.0,122.0,2.3
C,26.0,21.0,0.0,1.0,0.0,0.0,213.0,122.0,-11.2
C,26.0,37.0,5.0,12.0,0.417,14.0,213.0,122.0,10.0
C,28.0,1267.0,146.0,281.0,0.52,396.0,213.0,120.0,10.4
SG,25.0,3064.0,515.0,1202.0,0.428,1473.0,196.0,86.0,15.9
SG,21.0,2701.0,452.0,1091.0,0.414,1384.0,198.0,98.0,14.8
SG,30.0,2491.0,375.0,846.0,0.443,1024.0,190.0,81.0,14.2
SG,25.0,2810.0,379.0,911.0,0.416,1119.0,196.0,94.0,13.9
PG,33.0,2915.0,440.0,818.0,0.538,1209.0,185.0,77.0,21.9
PG,22.0,2865.0,481.0,1129.0,0.426,1331.0,178.0,77.0,16.7
PG,29.0,2526.0,471.0,1023.0,0.46,1256.0,196.0,90.0,19.1
PF,27.0,746.0,72.0,169.0,0.426,214.0,203.0,99.0,12.4
SG,22.0,1150.0,148.0,360.0,0.411,422.0,196.0,90.0,15.0
PG,28.0,655.0,85.0,217.0,0.392,252.0,188.0,77.0,10.6
PG,28.0,190.0,20.0,50.0,0.4,62.0,188.0,77.0,11.0
PG,28.0,465.0,65.0,167.0,0.389,190.0,188.0,77.0,10.5
PF,22.0,2.0,0.0,0.0,,0.0,206.0,115.0,0.0
C,25.0,1332.0,225.0,414.0,0.543,514.0,213.0,111.0,12.4
PF,23.0,1655.0,274.0,547.0,0.501,666.0,206.0,104.0,13.5
PG,25.0,246.0,48.0,103.0,0.466,140.0,193.0,87.0,16.9
C,34.0,773.0,33.0,83.0,0.398,85.0,208.0,111.0,6.2
PF,33.0,31.0,1.0,6.0,0.167,3.0,208.0,102.0,4.1
PF,33.0,2841.0,452.0,853.0,0.53,1161.0,206.0,102.0,15.7
PG,34.0,1687.0,241.0,526.0,0.458,596.0,188.0,79.0,13.2
PF,31.0,1152.0,279.0,564.0,0.495,672.0,206.0,108.0,16.4
SF,30.0,53.0,8.0,22.0,0.364,22.0,198.0,95.0,4.4
C,25.0,305.0,32.0,72.0,0.444,82.0,211.0,113.0,7.5
PF,21.0,1219.0,220.0,429.0,0.513,518.0,203.0,113.0,12.4
PF,33.0,192.0,18.0,51.0,0.353,47.0,206.0,104.0,3.6
PG,24.0,2513.0,396.0,950.0,0.417,1099.0,211.0,113.0,15.9
SF,24.0,31.0,3.0,14.0,0.214,9.0,203.0,97.0,1.8
PF,22.0,266.0,27.0,80.0,0.338,64.0,211.0,99.0,6.0
PF,27.0,2966.0,571.0,1087.0,0.525,1298.0,206.0,104.0,16.7
PF,21.0,1788.0,275.0,565.0,0.487,655.0,208.0,102.0,11.8
SG,25.0,610.0,61.0,148.0,0.412,186.0,193.0,86.0,12.8
SG,25.0,87.0,12.0,33.0,0.364,33.0,193.0,86.0,10.3
SG,25.0,523.0,49.0,115.0,0.426,153.0,193.0,86.0,13.2
PG,25.0,787.0,87.0,218.0,0.399,244.0,188.0,86.0,12.0
SF,23.0,217.0,18.0,43.0,0.419,48.0,201.0,86.0,6.9
SF,25.0,3096.0,491.0,1015.0,0.484,1300.0,198.0,108.0,17.1
PG,32.0,1462.0,186.0,430.0,0.433,544.0,168.0,60.0,14.8
PG,32.0,817.0,104.0,222.0,0.468,300.0,168.0,60.0,15.3
PG,32.0,645.0,82.0,208.0,0.394,244.0,168.0,60.0,14.3
PF,22.0,558.0,150.0,276.0,0.543,356.0,206.0,111.0,23.6
SF,24.0,58.0,8.0,23.0,0.348,18.0,203.0,105.0,7.0
C,32.0,1065.0,169.0,343.0,0.493,376.0,213.0,111.0,11.0
C,25.0,93.0,16.0,32.0,0.5,39.0,211.0,113.0,13.6
PG,25.0,2104.0,338.0,736.0,0.459,1009.0,183.0,86.0,18.5
SG,28.0,1639.0,175.0,393.0,0.445,465.0,198.0,90.0,7.6
C,35.0,682.0,61.0,126.0,0.484,150.0,208.0,104.0,7.2
PF,23.0,122.0,13.0,30.0,0.433,40.0,206.0,108.0,9.3
PG,24.0,335.0,45.0,99.0,0.455,150.0,183.0,76.0,17.1
SG,32.0,738.0,77.0,205.0,0.376,188.0,198.0,83.0,7.3
PF,35.0,1672.0,192.0,384.0,0.5,511.0,203.0,97.0,12.3
SF,23.0,1470.0,241.0,546.0,0.441,685.0,203.0,99.0,13.3
PF-C,37.0,571.0,62.0,152.0,0.408,138.0,208.0,109.0,8.0
C,37.0,31.0,3.0,8.0,0.375,6.0,208.0,109.0,8.7
PF,37.0,540.0,59.0,144.0,0.41,132.0,208.0,109.0,7.9
C,33.0,1652.0,180.0,397.0,0.453,455.0,193.0,83.0,12.4
PF,27.0,1858.0,279.0,660.0,0.423,721.0,206.0,108.0,16.4
C,26.0,1806.0,87.0,214.0,0.407,198.0,206.0,90.0,9.6
PG,29.0,189.0,13.0,40.0,0.325,55.0,188.0,82.0,6.9
SF,24.0,184.0,27.0,68.0,0.397,68.0,203.0,102.0,8.4
SF,24.0,62.0,7.0,22.0,0.318,19.0,203.0,102.0,7.9
SF,24.0,122.0,20.0,46.0,0.435,49.0,203.0,102.0,8.7
SF,31.0,817.0,94.0,254.0,0.37,241.0,201.0,86.0,8.4
PF,27.0,193.0,15.0,29.0,0.517,40.0,208.0,104.0,10.5
SF,25.0,2169.0,359.0,808.0,0.444,995.0,193.0,88.0,15.8
SF,25.0,1381.0,235.0,540.0,0.435,658.0,193.0,88.0,16.2
SF,25.0,788.0,124.0,268.0,0.463,337.0,193.0,88.0,15.1
SF,22.0,609.0,125.0,268.0,0.466,297.0,188.0,86.0,8.5
PF,33.0,2135.0,325.0,712.0,0.456,794.0,188.0,79.0,11.7
PF,33.0,1357.0,195.0,412.0,0.473,479.0,188.0,79.0,12.1
PF,33.0,778.0,130.0,300.0,0.433,315.0,188.0,79.0,10.9
PF,27.0,79.0,10.0,20.0,0.5,23.0,201.0,95.0,13.2
SG,32.0,695.0,88.0,212.0,0.415,223.0,196.0,83.0,8.1
SF,21.0,487.0,60.0,157.0,0.382,165.0,203.0,116.0,11.1
PF,31.0,1065.0,135.0,263.0,0.513,291.0,211.0,104.0,8.8
PF,31.0,18.0,0.0,1.0,0.0,0.0,211.0,104.0,-2.0
PF,31.0,1047.0,135.0,262.0,0.515,291.0,211.0,104.0,9.0
PF,31.0,772.0,75.0,174.0,0.431,208.0,206.0,102.0,9.2
PF,31.0,96.0,7.0,14.0,0.5,22.0,206.0,102.0,8.7
PF,31.0,34.0,1.0,6.0,0.167,4.0,206.0,102.0,-0.6
PF,31.0,642.0,67.0,154.0,0.435,182.0,206.0,102.0,9.8
PG,25.0,72.0,6.0,22.0,0.273,19.0,178.0,83.0,9.5
PG,30.0,1164.0,101.0,259.0,0.39,279.0,188.0,81.0,10.2
C,23.0,1434.0,248.0,512.0,0.484,664.0,211.0,117.0,15.1
C,23.0,1136.0,183.0,384.0,0.477,483.0,211.0,117.0,14.5
C,23.0,298.0,65.0,128.0,0.508,181.0,211.0,117.0,17.3
C,22.0,888.0,105.0,248.0,0.423,281.0,213.0,113.0,8.0
,,,,,,,,,
PG,27.0,2131.0,411.0,924.0,0.445,1031.0,188.0,83.0,13.2
PF,20.0,2802.0,550.0,1214.0,0.453,1494.0,206.0,102.0,17.4
SF,32.0,355.0,49.0,122.0,0.402,128.0,201.0,97.0,10.6
PG,23.0,1454.0,194.0,490.0,0.396,577.0,185.0,83.0,14.3
SG,24.0,943.0,78.0,221.0,0.353,228.0,193.0,83.0,8.7
SG,24.0,692.0,57.0,147.0,0.388,164.0,193.0,83.0,8.7
SG,24.0,251.0,21.0,74.0,0.284,64.0,193.0,83.0,8.9
SG,21.0,2532.0,390.0,908.0,0.43,1102.0,203.0,99.0,14.6
C,24.0,11.0,0.0,5.0,0.0,0.0,211.0,102.0,-9.0
PF,25.0,144.0,12.0,40.0,0.3,40.0,203.0,104.0,8.8
C,32.0,1659.0,130.0,262.0,0.496,322.0,208.0,104.0,11.4
PG,26.0,3081.0,485.0,1137.0,0.427,1436.0,183.0,76.0,19.5
SG,29.0,2163.0,288.0,725.0,0.397,757.0,198.0,92.0,13.8
SG,23.0,1066.0,147.0,318.0,0.462,386.0,198.0,94.0,10.4
SG,30.0,303.0,29.0,64.0,0.453,83.0,201.0,86.0,12.6
PG,29.0,1863.0,199.0,507.0,0.393,616.0,183.0,79.0,16.6
PG,29.0,1020.0,148.0,327.0,0.453,389.0,201.0,102.0,12.9
PG,28.0,1010.0,132.0,345.0,0.383,411.0,183.0,77.0,14.7
SG,30.0,838.0,81.0,186.0,0.435,239.0,198.0,95.0,9.7
SG,30.0,7.0,0.0,0.0,,0.0,198.0,95.0,-2.3
SG,30.0,822.0,79.0,183.0,0.432,233.0,198.0,95.0,9.9
SG,30.0,9.0,2.0,3.0,0.667,6.0,198.0,95.0,0.9
SF,29.0,1773.0,138.0,319.0,0.433,384.0,201.0,89.0,9.1
SG,28.0,942.0,105.0,220.0,0.477,279.0,203.0,92.0,11.3
SG,28.0,292.0,31.0,77.0,0.403,90.0,203.0,92.0,9.6
SG,28.0,650.0,74.0,143.0,0.517,189.0,203.0,92.0,12.1
C,27.0,1881.0,321.0,639.0,0.502,792.0,208.0,115.0,14.2
PF,25.0,3159.0,632.0,1251.0,0.505,1637.0,211.0,105.0,20.1
PF,33.0,2009.0,335.0,692.0,0.484,1016.0,198.0,114.0,23.0
PG,29.0,708.0,110.0,253.0,0.435,300.0,180.0,73.0,14.0
SG,25.0,1094.0,155.0,379.0,0.409,442.0,198.0,83.0,15.0
SG,27.0,965.0,100.0,246.0,0.407,285.0,193.0,88.0,13.2
C,32.0,44.0,5.0,12.0,0.417,13.0,213.0,113.0,8.9
PG,26.0,75.0,6.0,19.0,0.316,22.0,183.0,77.0,5.8
PG,26.0,16.0,2.0,6.0,0.333,10.0,183.0,77.0,32.1
PG,26.0,59.0,4.0,13.0,0.308,12.0,183.0,77.0,-1.3
PG,24.0,2064.0,274.0,620.0,0.442,754.0,180.0,82.0,13.3
PG,29.0,3056.0,501.0,1159.0,0.432,1354.0,183.0,81.0,20.4
PF,28.0,1009.0,92.0,179.0,0.514,241.0,206.0,108.0,11.9
PG,32.0,1880.0,204.0,443.0,0.46,522.0,160.0,61.0,15.7
SG,26.0,48.0,6.0,19.0,0.316,19.0,193.0,83.0,10.2
PG,24.0,430.0,46.0,105.0,0.438,122.0,185.0,83.0,8.8
PG,24.0,21.0,2.0,4.0,0.5,5.0,185.0,83.0,-5.1
PG,24.0,409.0,44.0,101.0,0.436,117.0,185.0,83.0,9.5
SF,25.0,1.0,0.0,0.0,,0.0,201.0,83.0,37.7
SG,23.0,154.0,21.0,63.0,0.333,55.0,196.0,88.0,7.0
C,24.0,2288.0,406.0,905.0,0.449,961.0,229.0,106.0,16.5
C,24.0,1228.0,199.0,456.0,0.436,479.0,229.0,106.0,16.3
C,24.0,1060.0,207.0,449.0,0.461,482.0,229.0,106.0,16.7
C,28.0,251.0,25.0,58.0,0.431,59.0,208.0,120.0,9.6
PG,26.0,2868.0,575.0,1313.0,0.438,1519.0,180.0,81.0,21.5
PF,37.0,255.0,32.0,73.0,0.438,81.0,206.0,108.0,6.9
PG,31.0,251.0,19.0,39.0,0.487,57.0,180.0,74.0,11.0
SF,28.0,757.0,78.0,154.0,0.506,204.0,201.0,97.0,11.3
SF,28.0,83.0,13.0,26.0,0.5,34.0,201.0,97.0,11.6
SF,28.0,674.0,65.0,128.0,0.508,170.0,201.0,97.0,11.3
PG,28.0,522.0,61.0,166.0,0.367,160.0,185.0,72.0,11.3
PG,22.0,184.0,28.0,70.0,0.4,82.0,190.0,83.0,12.9
C,33.0,83.0,5.0,12.0,0.417,16.0,206.0,116.0,11.1
PF,27.0,2592.0,300.0,656.0,0.457,761.0,229.0,106.0,13.8
PG,28.0,1057.0,140.0,333.0,0.42,341.0,203.0,99.0,13.0
SG,18.0,1103.0,176.0,422.0,0.417,539.0,198.0,96.0,14.4
PF,31.0,1018.0,152.0,275.0,0.553,380.0,206.0,111.0,13.3
SF,28.0,703.0,58.0,158.0,0.367,139.0,198.0,99.0,9.8
PF,29.0,1025.0,114.0,284.0,0.401,320.0,208.0,97.0,10.3
SF,26.0,939.0,98.0,271.0,0.362,294.0,201.0,98.0,10.3
SF,26.0,482.0,45.0,131.0,0.344,151.0,201.0,98.0,10.9
SF,26.0,457.0,53.0,140.0,0.379,143.0,201.0,98.0,9.6
SF,28.0,380.0,39.0,116.0,0.336,148.0,203.0,95.0,8.6
SG,26.0,465.0,52.0,125.0,0.416,148.0,188.0,77.0,9.0
PF,23.0,1405.0,205.0,385.0,0.532,549.0,203.0,115.0,14.3
C,35.0,1247.0,66.0,141.0,0.468,151.0,206.0,101.0,10.3
PF,30.0,569.0,40.0,92.0,0.435,101.0,203.0,120.0,7.5
PF,30.0,204.0,10.0,35.0,0.286,29.0,203.0,120.0,5.1
PF,30.0,365.0,30.0,57.0,0.526,72.0,203.0,120.0,8.8
C,22.0,1897.0,375.0,778.0,0.482,935.0,211.0,99.0,17.8
PF,28.0,2516.0,442.0,942.0,0.469,1148.0,211.0,97.0,16.8
PF,35.0,1460.0,252.0,522.0,0.483,603.0,206.0,102.0,12.1
SG,22.0,830.0,125.0,271.0,0.461,337.0,196.0,93.0,13.3
PF,27.0,21.0,2.0,3.0,0.667,5.0,208.0,120.0,9.7
PG,27.0,1714.0,337.0,783.0,0.43,967.0,190.0,83.0,18.4
PG,27.0,539.0,100.0,241.0,0.415,325.0,190.0,83.0,18.3
PG,27.0,398.0,70.0,165.0,0.424,197.0,190.0,83.0,15.8
PG,27.0,777.0,167.0,377.0,0.443,445.0,190.0,83.0,19.7
C,28.0,581.0,48.0,94.0,0.511,118.0,213.0,108.0,8.9
SF,27.0,1426.0,282.0,617.0,0.457,729.0,198.0,86.0,16.2
SF,27.0,279.0,34.0,83.0,0.41,86.0,198.0,86.0,9.7
SF,27.0,1147.0,248.0,534.0,0.464,643.0,198.0,86.0,17.7
PF,37.0,83.0,7.0,31.0,0.226,19.0,208.0,99.0,-3.9
SG,29.0,1833.0,332.0,749.0,0.443,898.0,193.0,83.0,15.2
SG,25.0,2411.0,369.0,730.0,0.505,837.0,201.0,94.0,11.1
PF,28.0,662.0,72.0,165.0,0.436,182.0,208.0,104.0,14.5
PG,24.0,155.0,14.0,40.0,0.35,39.0,188.0,85.0,4.5
PG,24.0,125.0,10.0,30.0,0.333,29.0,188.0,85.0,5.0
PG,24.0,30.0,4.0,10.0,0.4,10.0,188.0,85.0,2.4
PG,29.0,2076.0,211.0,510.0,0.414,605.0,190.0,88.0,11.2
SG,26.0,3127.0,396.0,949.0,0.417,1176.0,198.0,90.0,15.1
PF,29.0,2102.0,364.0,836.0,0.435,1032.0,208.0,104.0,17.3
PG,28.0,1183.0,122.0,314.0,0.389,311.0,185.0,81.0,9.5
C,29.0,1614.0,214.0,454.0,0.471,574.0,208.0,101.0,12.8
SF,34.0,2305.0,253.0,600.0,0.422,666.0,198.0,95.0,11.0
PF,27.0,100.0,11.0,30.0,0.367,25.0,203.0,106.0,3.8
PF,27.0,52.0,6.0,14.0,0.429,12.0,203.0,106.0,5.1
PF,27.0,48.0,5.0,16.0,0.313,13.0,203.0,106.0,2.4
PG,27.0,659.0,79.0,154.0,0.513,232.0,185.0,83.0,14.3
PF,35.0,828.0,155.0,319.0,0.486,370.0,206.0,99.0,15.2
PF,39.0,46.0,3.0,8.0,0.375,7.0,206.0,95.0,4.9
SG,32.0,2078.0,384.0,836.0,0.459,1008.0,193.0,86.0,15.0
SG,28.0,1217.0,99.0,221.0,0.448,318.0,196.0,95.0,10.4
C,21.0,1052.0,131.0,336.0,0.39,370.0,211.0,120.0,11.8
SG,29.0,310.0,36.0,119.0,0.303,98.0,201.0,92.0,8.3
SG,29.0,28.0,2.0,16.0,0.125,6.0,201.0,92.0,-10.5
SG,29.0,282.0,34.0,103.0,0.33,92.0,201.0,92.0,10.1
SG,26.0,1789.0,248.0,570.0,0.435,702.0,196.0,90.0,10.9
SG,26.0,1351.0,175.0,396.0,0.442,486.0,196.0,90.0,9.7
SG,26.0,438.0,73.0,174.0,0.42,216.0,196.0,90.0,14.5
C,24.0,313.0,19.0,54.0,0.352,57.0,213.0,120.0,7.2
PF,28.0,2335.0,308.0,641.0,0.48,858.0,206.0,97.0,13.8
PF,24.0,98.0,10.0,26.0,0.385,29.0,206.0,108.0,9.4
PF,27.0,2589.0,370.0,688.0,0.538,832.0,211.0,104.0,15.1
PG,28.0,230.0,24.0,54.0,0.444,65.0,193.0,88.0,9.7
SG,26.0,623.0,74.0,184.0,0.402,181.0,196.0,83.0,7.4
SF,23.0,1705.0,251.0,535.0,0.469,639.0,198.0,88.0,13.7
SG,27.0,2277.0,398.0,999.0,0.398,1178.0,198.0,85.0,15.5
C,23.0,1065.0,142.0,273.0,0.52,375.0,208.0,104.0,12.5
PG,25.0,1053.0,148.0,383.0,0.386,470.0,188.0,86.0,12.4
SG,30.0,2243.0,365.0,781.0,0.467,886.0,198.0,88.0,14.4
C,27.0,138.0,26.0,63.0,0.413,63.0,206.0,106.0,13.7
PG,23.0,867.0,119.0,256.0,0.465,332.0,185.0,85.0,14.2
SG,26.0,10.0,0.0,3.0,0.0,2.0,190.0,92.0,1.9
C,28.0,2840.0,418.0,847.0,0.494,1024.0,216.0,110.0,17.9
SG,29.0,61.0,8.0,16.0,0.5,25.0,188.0,89.0,12.5
PG,30.0,2316.0,306.0,610.0,0.502,764.0,183.0,81.0,14.6
C,34.0,389.0,34.0,74.0,0.459,80.0,216.0,113.0,7.3
SG,34.0,2271.0,397.0,899.0,0.442,1114.0,201.0,95.0,19.9
SG,23.0,132.0,13.0,43.0,0.302,36.0,196.0,97.0,6.8
C,32.0,384.0,45.0,103.0,0.437,104.0,213.0,124.0,6.1
C,31.0,1840.0,126.0,293.0,0.43,317.0,188.0,81.0,10.1
SG,33.0,2923.0,385.0,875.0,0.44,1158.0,190.0,86.0,15.6
SG,24.0,278.0,33.0,96.0,0.344,86.0,198.0,86.0,5.2
SG,24.0,227.0,27.0,77.0,0.351,72.0,198.0,86.0,6.1
SG,24.0,51.0,6.0,19.0,0.316,14.0,198.0,86.0,1.3
C,26.0,500.0,67.0,180.0,0.372,188.0,208.0,108.0,10.7
C,26.0,457.0,59.0,157.0,0.376,162.0,208.0,108.0,10.0
C,26.0,43.0,8.0,23.0,0.348,26.0,208.0,108.0,18.6
PG,23.0,1376.0,150.0,391.0,0.384,485.0,178.0,68.0,12.7
SF,31.0,1439.0,182.0,458.0,0.397,478.0,193.0,90.0,10.0
PG,31.0,477.0,69.0,183.0,0.377,190.0,190.0,86.0,9.8
SG,35.0,848.0,87.0,248.0,0.351,214.0,198.0,81.0,7.6
PG,24.0,1083.0,139.0,308.0,0.451,368.0,188.0,80.0,11.1
SF,33.0,2687.0,291.0,585.0,0.497,909.0,196.0,95.0,14.3
SF,28.0,1393.0,196.0,464.0,0.422,582.0,203.0,92.0,14.0
SF,36.0,2940.0,477.0,1151.0,0.414,1361.0,201.0,92.0,12.9
PF,26.0,2002.0,445.0,1014.0,0.439,1203.0,203.0,108.0,18.2
PF,29.0,125.0,6.0,16.0,0.375,15.0,206.0,95.0,6.5
SF,23.0,59.0,8.0,22.0,0.364,20.0,203.0,99.0,11.7
C,34.0,2887.0,655.0,1342.0,0.488,1751.0,213.0,108.0,21.3
PF-C,22.0,624.0,56.0,157.0,0.357,151.0,206.0,115.0,11.1
C,22.0,10.0,2.0,4.0,0.5,5.0,206.0,115.0,16.3
PF,22.0,614.0,54.0,153.0,0.353,146.0,206.0,115.0,11.0
SF,31.0,1115.0,159.0,337.0,0.472,394.0,201.0,94.0,11.6
PF,30.0,2633.0,341.0,794.0,0.429,870.0,208.0,104.0,11.7
SF,23.0,2790.0,475.0,1071.0,0.444,1249.0,201.0,97.0,14.5
SF,23.0,796.0,141.0,297.0,0.475,352.0,201.0,97.0,14.6
SF,23.0,1994.0,334.0,774.0,0.432,897.0,201.0,97.0,14.5
C,27.0,8.0,1.0,3.0,0.333,2.0,211.0,106.0,-3.2
C,27.0,7.0,1.0,3.0,0.333,2.0,211.0,106.0,-3.7
C,27.0,1.0,0.0,0.0,,0.0,211.0,106.0,0.0
PG,22.0,921.0,104.0,262.0,0.397,309.0,185.0,90.0,11.0
C,28.0,920.0,111.0,245.0,0.453,278.0,211.0,108.0,8.4
SF,27.0,2650.0,433.0,950.0,0.456,1174.0,201.0,104.0,16.5
C,22.0,949.0,114.0,266.0,0.429,304.0,193.0,81.0,10.4
SF,31.0,953.0,123.0,286.0,0.43,307.0,196.0,95.0,11.6
SF,20.0,2995.0,549.0,1100.0,0.499,1309.0,211.0,108.0,18.2
C,30.0,1665.0,223.0,389.0,0.573,542.0,208.0,102.0,17.7
PF,29.0,1283.0,327.0,623.0,0.525,891.0,208.0,99.0,23.9
PF,29.0,1191.0,309.0,580.0,0.533,840.0,208.0,99.0,24.4
PF,29.0,92.0,18.0,43.0,0.419,51.0,208.0,99.0,16.9
PG,23.0,246.0,22.0,58.0,0.379,57.0,188.0,84.0,8.7
C,27.0,1044.0,171.0,350.0,0.489,437.0,213.0,110.0,14.3
SF,28.0,3199.0,644.0,1453.0,0.443,1789.0,196.0,88.0,19.6
PF,32.0,2050.0,246.0,522.0,0.471,691.0,206.0,104.0,13.6
PG,25.0,1188.0,131.0,330.0,0.397,387.0,185.0,82.0,12.1
PG,25.0,576.0,62.0,154.0,0.403,190.0,185.0,82.0,11.6
PG,25.0,612.0,69.0,176.0,0.392,197.0,185.0,82.0,12.6
SG,26.0,197.0,29.0,80.0,0.363,93.0,193.0,78.0,12.6
PF,24.0,607.0,91.0,207.0,0.44,252.0,206.0,115.0,14.5
PG,31.0,365.0,39.0,110.0,0.355,110.0,190.0,83.0,9.1
PF,31.0,1604.0,129.0,314.0,0.411,316.0,203.0,88.0,8.8
PF,31.0,2496.0,358.0,695.0,0.515,845.0,208.0,97.0,17.3
PF,24.0,49.0,8.0,26.0,0.308,18.0,201.0,108.0,4.6
PF,24.0,25.0,3.0,11.0,0.273,8.0,201.0,108.0,15.8
PF,24.0,24.0,5.0,15.0,0.333,10.0,201.0,108.0,-7.1
SF,27.0,42.0,4.0,15.0,0.267,13.0,201.0,106.0,2.8
SG,31.0,316.0,38.0,83.0,0.458,91.0,196.0,90.0,10.0
PF,33.0,2492.0,234.0,484.0,0.483,597.0,203.0,106.0,12.4
PF,33.0,548.0,61.0,128.0,0.477,153.0,203.0,106.0,11.6
PF,33.0,1944.0,173.0,356.0,0.486,444.0,203.0,106.0,12.6
PG,26.0,311.0,30.0,64.0,0.469,90.0,185.0,83.0,13.5
PF,27.0,3131.0,592.0,1339.0,0.442,1672.0,208.0,108.0,19.0
C,33.0,74.0,13.0,37.0,0.351,40.0,208.0,108.0,19.6
SF,23.0,318.0,33.0,62.0,0.532,83.0,201.0,99.0,8.5
SF,23.0,313.0,32.0,61.0,0.525,80.0,201.0,99.0,8.2
SF,23.0,5.0,1.0,1.0,1.0,3.0,201.0,99.0,22.5
C,23.0,268.0,30.0,57.0,0.526,76.0,213.0,111.0,8.9
PF,29.0,1758.0,191.0,398.0,0.48,506.0,206.0,97.0,10.1
SF,25.0,133.0,16.0,35.0,0.457,42.0,201.0,92.0,11.9
SF,25.0,39.0,2.0,6.0,0.333,4.0,201.0,92.0,1.1
